sample_id,county,crop,collection_date,soil_moisture_pct,temperature_c,aflatoxin_ppb,lab_id
S1350,Kisumu,Maize,2026-04-13,34.0,23.3,9.43,LAB-B
S1351,Nakuru,Groundnuts,2026-04-13,33.5,25.2,7.58,LAB-B
S1352,Kisumu,Maize,2026-04-13,11.8,28.7,2.71,LAB-C
S1353,Machakos,Groundnuts,2026-04-13,19.0,20.3,10.23,LAB-C
S1354,Kisumu,Groundnuts,2026-04-14,16.7,25.2,0.47,LAB-C
S1355,Nairobi,Millet,2026-04-14,10.3,27.4,11.79,LAB-C
S1356,Machakos,Maize,2026-04-14,25.1,33.2,15.71,LAB-C
S1357,Nairobi,Millet,2026-04-15,27.9,22.0,0.4,LAB-B
S1358,Meru,Maize,2026-04-15,30.9,23.7,7.25,LAB-C
S1359,Kiambu,Maize,2026-04-15,11.3,24.1,8.66,LAB-A
S1360,Kisumu,Sorghum,2026-04-16,31.7,27.7,2.11,LAB-A
S1361,Kiambu,Maize,2026-04-16,25.4,23.7,7.13,LAB-B
S1362,Kiambu,Millet,2026-04-16,27.0,26.5,3.81,LAB-A
S1363,Kisumu,Groundnuts,2026-04-16,32.6,30.5,1.99,LAB-B
S1364,Machakos,Maize,2026-04-17,24.9,29.3,5.57,LAB-B
S1365,Meru,Sorghum,2026-04-17,17.1,25.1,12.5,LAB-A
S1366,Nairobi,Millet,2026-04-17,30.3,31.8,1.63,LAB-C
S1367,Nakuru,Maize,2026-04-18,17.8,26.9,1.63,LAB-A
S1368,Nairobi,Millet,2026-04-18,8.9,26.6,2.55,LAB-A
S1369,Nakuru,Sorghum,2026-04-18,30.4,18.5,9.49,LAB-B
S1370,Nairobi,Sorghum,2026-04-18,17.3,33.8,2.16,LAB-A
S1371,Kisumu,Millet,2026-04-19,28.9,20.0,11.71,LAB-B
S1372,Meru,Maize,2026-04-19,17.8,21.7,7.39,LAB-C
S1373,Nakuru,Groundnuts,2026-04-19,31.2,18.8,4.65,LAB-C
S1374,Bungoma,Sorghum,2026-04-20,13.9,28.2,7.03,LAB-C
S1375,Machakos,Maize,2026-04-20,34.3,21.6,2.09,LAB-A
S1376,Nairobi,Maize,2026-04-20,29.1,20.9,9.58,LAB-B
S1377,Nairobi,Groundnuts,2026-04-20,11.1,19.4,12.27,LAB-C
S1378,Nakuru,Sorghum,2026-04-21,23.3,19.7,14.57,LAB-B
S1379,Machakos,Sorghum,2026-04-21,34.6,27.4,0.17,LAB-B
S1380,Machakos,Maize,2026-04-21,20.7,29.0,4.79,LAB-C
S1381,Kisumu,Maize,2026-04-22,12.9,24.4,4.1,LAB-C
S1382,Bungoma,Groundnuts,2026-04-22,21.1,25.7,8.81,LAB-B
S1383,Kisumu,Groundnuts,2026-04-22,21.8,29.0,19.52,LAB-C
S1384,KISUMU,Sorghum,2026-04-23,28.0,18.3,15.28,LAB-B
S1385,Kisumu,Millet,2026-04-23,26.9,23.2,2.98,LAB-B
S1386,Kisumu,Sorghum,2026-04-23,18.9,33.6,10.34,LAB-C
S1387,Kisumu,Maize,2026-04-23,13.9,27.3,16.03,LAB-A
S1388,Meru,Sorghum,2026-04-24,25.4,22.1,9.27,LAB-C
S1389,Machakos,Millet,2026-04-24,19.4,26.3,5.96,LAB-A
S1390,Kisumu,Groundnuts,2026-04-24,11.6,23.5,9.57,LAB-B
S1391,Machakos,Millet,2026-04-25,32.3,26.5,0.37,LAB-B
S1392,Machakos,Millet,2026-04-25,26.7,20.0,1.54,LAB-A
S1393,Kiambu,Millet,2026-04-25,26.4,20.1,2.51,LAB-B
S1394,Meru,Groundnuts,2026-04-25,30.2,20.3,8.46,LAB-A
S1395,Kisumu,Millet,2026-04-26,22.3,33.0,4.95,LAB-A
S1396,Nairobi,Millet,2026-04-26,30.0,29.7,0.58,LAB-B
S1397,Nakuru,Millet,2026-04-26,21.4,20.6,4.69,LAB-A
S1398,Bungoma,Maize,2026-04-27,9.8,21.0,9.76,LAB-C
S1399,Nairobi,Millet,2026-04-27,18.9,29.7,21.32,LAB-C
S1400,Meru,Groundnuts,2026-04-27,21.4,20.5,14.1,LAB-B
S1401,Nakuru,Millet,2026-04-27,27.4,21.8,12.27,LAB-B
S1402,Meru,Millet,2026-04-28,10.9,33.4,7.91,LAB-A
S1403,Machakos,Groundnuts,2026-04-28,11.8,22.1,17.43,LAB-A
S1404,Nakuru,Millet,2026-04-28,15.1,28.6,4.7,LAB-A
S1405,Machakos,Groundnuts,2026-04-29,15.2,33.7,10.41,LAB-A
S1406,Nairobi,Millet,2026-04-29,27.8,24.0,4.11,LAB-C
S1407,Nairobi,Groundnuts,2026-04-29,14.8,18.3,15.2,LAB-C
S1408,Nakuru,Millet,2026-04-30,25.1,21.9,9.23,LAB-B
S1409,Nakuru,Millet,2026-04-30,21.3,31.3,1.07,LAB-A
S1410,Kisumu,Maize,2026-04-30,23.5,31.8,4.39,LAB-A
S1411,Meru,Maize,2026-04-30,30.6,30.3,4.87,LAB-B
S1412,Kisumu,Millet,2026-05-01,18.9,19.8,5.01,LAB-A
S1413,Meru,Millet,2026-05-01,28.8,30.7,14.95,LAB-A
S1414,Kisumu,Sorghum,2026-05-01,19.4,32.7,0.74,LAB-A
S1415,Machakos,Groundnuts,2026-05-02,17.6,27.6,14.02,LAB-A
S1416,Nakuru,Sorghum,2026-05-02,33.9,33.1,3.58,LAB-A
S1417,Nairobi,Maize,2026-05-02,13.0,31.2,7.79,LAB-B
S1418,Meru,Maize,2026-05-02,10.4,28.7,6.58,LAB-A
S1419,Meru,Maize,2026-05-03,28.8,27.2,5.83,LAB-B
S1420,Nairobi,Maize,2026-05-03,9.8,23.6,5.89,LAB-A
S1421,Kisumu,Millet,2026-05-03,30.6,20.5,17.66,LAB-C
S1422,Meru,Maize,2026-05-04,19.8,27.7,12.74,LAB-C
S1423,Bungoma,Millet,2026-05-04,32.7,23.1,3.1,LAB-C
S1424,Machakos,Millet,2026-05-04,27.5,31.9,18.66,LAB-C
S1425,Nakuru,Maize,2026-05-04,24.5,33.9,8.2,LAB-B
S1426,Nairobi,Maize,2026-05-05,33.6,30.0,8.86,LAB-B
S1427,Nakuru,Groundnuts,2026-05-05,18.7,19.4,0.7,LAB-A
S1428,Bungoma,Sorghum,2026-05-05,33.8,22.6,2.02,LAB-C
S1429,Meru,Maize,2026-05-06,11.6,19.7,0.49,LAB-B
S1430,Meru,Groundnuts,2026-05-06,21.1,28.4,6.69,LAB-A
S1431,Bungoma,Groundnuts,2026-05-06,15.3,30.2,11.11,LAB-A
S1432,Nairobi,Sorghum,2026-05-07,22.6,32.8,8.94,LAB-B
S1433,Machakos,Millet,2026-05-07,12.4,25.0,18.7,LAB-C
S1434,Kiambu,Maize,2026-05-07,30.7,32.4,1.1,LAB-A
S1435,Nairobi,Sorghum,2026-05-07,30.9,32.0,6.92,LAB-C
S1436,Kiambu,Maize,2026-05-08,33.8,23.1,4.26,LAB-C
S1437,Bungoma,Groundnuts,2026-05-08,12.2,31.9,1.37,LAB-C
S1438,Kisumu,Groundnuts,2026-05-08,24.8,24.0,16.12,LAB-A
S1439,Kiambu,Millet,2026-05-09,20.8,22.7,2.29,LAB-C
S1440,MACHAKOS,Groundnuts,2026-05-09,17.3,28.4,0.43,LAB-A
S1441,Kisumu,Groundnuts,2026-05-09,17.5,23.3,11.04,LAB-C
S1442,Kiambu,Sorghum,2026-05-09,19.1,28.1,0.51,LAB-A
S1443,Bungoma,Maize,2026-05-10,27.0,27.8,4.36,LAB-C
S1444,Kisumu,Maize,2026-05-10,24.2,27.0,4.86,LAB-B
S1445,Bungoma,Sorghum,2026-05-10,20.4,24.1,3.9,LAB-C
S1446,Kiambu,Millet,2026-05-11,10.1,26.8,16.17,LAB-C
S1447,Bungoma,Maize,2026-05-11,10.1,27.5,0.34,LAB-A
S1448,Machakos,Groundnuts,2026-05-11,8.1,26.7,1.55,LAB-A
S1449,Kiambu,Maize,2026-05-11,34.1,25.1,2.99,LAB-C
S1450,Kiambu,Groundnuts,2026-05-12,8.1,18.2,3.13,LAB-B
S1451,Kiambu,Millet,2026-05-12,10.8,27.4,10.28,LAB-B
S1452,Nairobi,Sorghum,2026-05-12,16.5,20.7,6.39,LAB-A
S1453,Nairobi,Maize,2026-05-13,29.8,28.3,13.65,LAB-B
S1454,Nairobi,Sorghum,2026-05-13,34.0,30.1,22.16,LAB-C
S1455,Machakos,Maize,2026-05-13,29.3,26.0,8.64,LAB-A
S1456,Kisumu,Groundnuts,2026-05-14,26.6,26.7,9.04,LAB-C
S1457,Bungoma,Sorghum,2026-05-14,22.1,33.2,2.95,LAB-A
S1458,Meru,Maize,2026-05-14,10.3,31.6,12.31,LAB-A
S1459,Kiambu,Groundnuts,2026-05-14,33.9,32.6,3.82,LAB-A
S1460,Bungoma,Sorghum,2026-05-15,28.5,31.0,6.22,LAB-A
S1461,Kiambu,Sorghum,2026-05-15,25.3,19.7,4.27,LAB-B
S1462,Machakos,Maize,2026-05-15,28.5,20.4,2.59,LAB-C
S1463,Kiambu,Maize,2026-05-16,27.6,26.4,6.72,LAB-C
S1464,Nairobi,Maize,2026-05-16,25.2,21.9,16.85,LAB-C
S1465,Meru,Groundnuts,2026-05-16,34.5,25.6,0.36,LAB-A
S1466,Nakuru,Maize,2026-05-16,32.4,24.3,1.59,LAB-B
S1467,Kiambu,Sorghum,2026-05-17,25.5,26.8,13.55,LAB-C
S1468,Bungoma,Sorghum,2026-05-17,26.7,30.0,0.87,LAB-B
S1469,Nairobi,Maize,2026-05-17,9.4,29.4,15.14,LAB-A
S1470,Nakuru,Maize,2026-05-18,26.1,26.3,5.93,LAB-C
S1471,Meru,Millet,2026-05-18,9.2,31.2,8.42,LAB-B
S1472,Nakuru,Sorghum,2026-05-18,23.9,24.9,8.94,LAB-A
S1473,Nairobi,Groundnuts,2026-05-18,35.0,32.3,1.07,LAB-B
S1474,Kisumu,Millet,2026-05-19,23.0,19.1,9.12,LAB-C
S1475,Kisumu,Maize,2026-05-19,20.8,33.3,0.18,LAB-C
S1476,Nakuru,Maize,2026-05-19,16.4,28.5,1.98,LAB-A
S1477,Machakos,Sorghum,2026-05-20,11.3,24.1,10.47,LAB-A
S1478,Bungoma,Maize,2026-05-20,27.7,21.2,8.35,LAB-A
S1479,Bungoma,Groundnuts,2026-05-20,13.2,,5.4,LAB-B
S1480,Nakuru,Sorghum,2026-05-21,11.1,21.1,4.07,LAB-B
S1481,Kiambu,Maize,2026-05-21,19.4,20.7,2.07,LAB-B
S1482,Kiambu,Sorghum,2026-05-21,29.5,27.9,8.21,LAB-A
S1483,Bungoma,Maize,2026-05-21,28.1,26.4,11.86,LAB-C
S1484,Bungoma,Maize,2026-05-22,9.5,28.7,2.88,LAB-C
S1485,Kisumu,Maize,2026-05-22,20.3,,0.72,LAB-B
S1486,Machakos,Groundnuts,2026-05-22,22.1,26.5,7.07,LAB-B
S1487,Nairobi,Groundnuts,2026-05-23,25.4,27.3,6.9,LAB-C
S1488,Kiambu,Sorghum,2026-05-23,25.6,19.4,6.99,LAB-C
S1489,Bungoma,Maize,2026-05-23,17.8,29.5,7.29,LAB-B
S1490,Kisumu,Maize,2026-05-23,23.1,24.4,1.21,LAB-B
S1491,Meru,Groundnuts,2026-05-24,21.0,33.6,19.13,LAB-C
S1492,Kisumu,Maize,2026-05-24,31.9,31.2,7.99,LAB-A
S1493,Kiambu,Groundnuts,2026-05-24,22.3,26.4,9.37,LAB-B
S1494,Kiambu,Maize,2026-05-25,19.9,20.0,9.58,LAB-C
S1495,Kisumu,Sorghum,2026-05-25,18.9,31.8,3.71,LAB-C
S1496,Nairobi,Maize,2026-05-25,23.5,30.8,21.55,LAB-C
S1497,Nakuru,Maize,2026-05-25,29.7,21.0,6.98,LAB-C
S1498,Kiambu,Millet,2026-05-26,22.5,22.7,12.37,LAB-A
S1499,Kisumu,Groundnuts,2026-05-26,25.9,30.7,10.95,LAB-C
